Id,Type
1047149,npc
1047150,npc
1047173,npc
1047174,npc
1047175,npc
1047176,npc
1047177,npc
1047178,npc
1047179,npc
1047180,npc
1047181,npc
1047182,npc
1047183,npc
1047184,npc
1048604,npc
1048605,npc
1048606,npc
1048607,npc
1048608,npc
1050356,npc
1050357,npc
1050358,npc
1050359,npc
1050950,npc
1050951,npc
1050952,npc
1051123,npc
1051349,npc
1051350,npc
1051351,npc
1051352,npc
1051356,npc
1051358,npc
1051360,npc
1051361,npc
1051421,npc
1051426,npc
1051542,npc
1051543,npc
1051544,npc
1051635,npc
1051636,npc
1051637,npc
1051640,npc
1051641,npc
1051694,npc
1051698,npc
1051700,npc
1051701,npc
1051703,npc
1051704,npc
1051705,npc
1051706,npc
1051708,npc
1051709,npc
1051778,npc
1052017,npc
1052018,npc
1052019,npc
1052115,npc
1052127,npc
1052476,npc
1052478,npc
20098,instance
3571,achievement
3592,achievement
3593,achievement
3594,achievement
3595,achievement
3596,achievement
3597,achievement
3598,achievement
3599,achievement
3600,achievement
3601,achievement
3602,achievement
3609,achievement
3616,achievement
40441,action
40442,action
40443,action
40444,action
40445,action
40446,action
40447,action
40448,action
40449,action
40451,action
40452,action
40453,action
40454,action
40455,action
40456,action
40457,action
40458,action
40459,action
40460,action
40461,action
40462,action
40463,action
40464,action
40465,action
40466,action
40467,action
40468,action
40469,action
40470,action
40471,action
40472,action
40473,action
40474,action
40475,action
40476,action
40477,action
40478,action
40479,action
40480,action
40481,action
40482,action
40483,action
40484,action
40485,action
40486,action
40487,action
40488,action
40489,action
40490,action
40491,action
40492,action
40493,action
40495,action
40496,action
40497,action
40498,action
40499,action
40500,action
40501,action
40502,action
40503,action
40504,action
40505,action
40506,action
40507,action
40508,action
40509,action
40510,action
40511,action
40512,action
40513,action
40514,action
40515,action
40516,action
40517,action
40518,action
40519,action
40520,action
40521,action
40522,action
40523,action
40524,action
40525,action
40526,action
40527,action
40528,action
40529,action
40530,action
40531,action
40532,action
40533,action
40536,action
40537,action
40666,item
41261,action
41262,action
41346,action
41347,action
41348,action
41349,action
41383,action
41472,item
41673,action
41674,action
41675,action
4177,status
4178,status
4179,status
4180,status
4181,status
4182,status
4191,status
42019,action
4375,status
4386,status
44334,item
44335,item
44336,item
44337,item
44338,item
44492,item
44500,item
44501,item
44507,item
44605,item
44606,item
44607,item
44608,item
44609,item
44610,item
44611,item
44612,item
44613,item
44614,item
44615,item
44616,item
44617,item
44618,item
44619,item
44620,item
44621,item
44622,item
44623,item
44624,item
44625,item
44626,item
44627,item
44628,item
44629,item
44630,item
44631,item
44632,item
44633,item
44634,item
44635,item
44636,item
44637,item
44638,item
44639,item
44655,item
44656,item
44657,item
44658,item
44659,item
44660,item
44850,item
44851,item
44852,item
44853,item
44854,item
44855,item
44856,item
44857,item
44858,item
44859,item
44860,item
44861,item
44862,item
44863,item
44864,item
44868,item
44869,item
44888,item
44889,item
44890,item
44891,item
44892,item
44915,item
44916,item
44917,item
44918,item
44919,item
44920,item
44921,item
44922,item
44923,item
44924,item
44930,item
44931,item
44932,item
44933,item
45074,item
45075,item
45076,item
45077,item
45078,item
70503,quest
70722,quest
70728,quest
70775,quest
70776,quest
70777,quest
